#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,übersetzer,翻译者,de,64,11460000,0.15,0.17,übersetzer,2025-10-24 19:05:15,"Knowledge card,Sitelinks,Video preview",13920000,1390000,1790000,2015-09-01,"Informational,Non-branded,Non-local"
2,nachrichten,消息,de,97,3990000,0.10,1.2,nachrichten,2025-10-21 05:07:15,"Sitelinks,Top stories,Thumbnail",4350000,2450000,2610000,2015-09-01,"Informational,Non-branded,Non-local"
3,news,消息,de,96,3300000,0.10,0.55,news,2025-10-21 08:13:12,"Top stories,Thumbnail,Sitelinks",38160000,852000,864000,2015-09-01,"Informational,Non-branded,Non-local"
4,speedtest,速度测试,de,71,3220000,0.30,1.17,speedtest,2025-10-21 11:40:16,"Knowledge card,Sitelinks",27400000,1270000,1490000,2015-09-01,"Informational,Non-branded,Non-local"
5,taschenrechner,计算器,de,19,877000,0.10,0.27,matherechner,2025-10-21 22:32:24,"Knowledge card,Sitelinks",1020000,340000,382000,2015-09-01,"Informational,Non-branded,Non-local"
6,indeed,的确,de,29,799000,0.30,0.99,indeed,2025-10-22 19:46:01,"Sitelinks,Video preview",26850000,727000,729000,2015-09-01,"Navigational,Non-branded,Non-local"
7,markt,市场,de,46,775000,1.00,1.02,markt,2025-10-21 02:24:40,"Sitelinks,Local pack,Video preview",828000,1520000,1550000,2015-09-01,"Informational,Non-branded,Non-local"
8,nachrichten aktuell,当前新闻,de,96,716000,0.15,1.06,nachrichten,2025-10-24 12:31:56,"Top stories,Thumbnail,Sitelinks,Video preview",767000,2480000,2640000,2015-09-01,"Informational,Non-branded,Non-local"
9,goldpreis,黄金价格,de,48,709000,0.25,1.09,goldpreis,2025-10-21 19:35:12,"Top stories,Thumbnail,Sitelinks,Knowledge panel,People also ask",937000,987000,1070000,2015-09-01,"Informational,Non-branded,Non-local"
10,friedrich merz,弗里德里希·梅尔茨,de,17,689000,0.10,0.79,friedrich merz kinder,2025-10-21 12:06:27,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask",920000,54000,60000,2015-09-02,"Informational,Non-branded,Non-local"
11,lotto,乐透,de,83,679000,0.35,1.05,lotto,2025-10-24 03:53:03,"Sitelinks,Top stories,Thumbnail,Knowledge panel,Video preview",5860000,735000,747000,2015-09-01,"Informational,Non-branded,Non-local"
12,weather,天气,de,98,662000,0.20,0.33,weather,2025-10-21 14:27:33,"Sitelinks,Top stories,Thumbnail",136100000,41000,7910000,2015-09-01,"Informational,Non-branded,Non-local"
13,wetter morgen,明天天气,de,9,649000,0.15,0.33,wetter morgen,2025-10-21 14:05:03,Sitelinks,872000,45000,45000,2015-09-01,"Informational,Non-branded,Non-local"
14,übersetzen,翻译,de,41,638000,0.10,0.14,übersetzer,2025-10-21 16:51:33,Knowledge card,798000,1390000,1790000,2015-09-01,"Informational,Non-branded,Non-local"
