#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,as,作为,es,27,7440000,0.60,0.97,as,2025-10-22 11:19:04,"Sitelinks,People also ask,Thumbnail,Video preview",8920000,6440000,6830000,2015-09-01,"Informational,Non-branded,Non-local"
2,translate,翻译,es,67,2230000,0.10,0.17,traductor,2025-10-21 23:45:20,"Knowledge card,Video preview",253100000,1060000,7540000,2015-09-01,"Informational,Non-branded,Non-local"
3,porn,A片,es,70,936000,0.40,1.15,pornhub,2025-10-24 09:05:46,"Sitelinks,People also ask",113800000,20340000,124400000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
4,carlos alcaraz,卡洛斯·阿尔卡拉斯,es,30,874000,0.10,0.77,carlos alcaraz,2025-10-21 09:33:16,"Top stories,Thumbnail,Sitelinks",3390000,175000,234000,2015-09-02,"Informational,Non-branded,Non-local"
5,sabadell,鞋,es,47,740000,1.70,1.04,banc sabadell,2025-10-24 15:17:50,"Sitelinks,Top stories,Thumbnail,People also ask,Video preview",773000,852000,863000,2015-09-01,"Informational,Non-branded,Local"
6,precio luz hoy,今日电价,es,1,616000,0.40,1.18,precio de la luz hoy,2025-10-21 23:37:12,"Sitelinks,Top stories,Thumbnail",618000,1630000,1630000,2015-09-01,"Informational,Non-branded,Non-local"
7,precio de la luz hoy,今日电价,es,1,608000,0.30,1.17,precio de la luz hoy,2025-10-21 12:18:12,"Sitelinks,Top stories,Thumbnail",610000,1630000,1630000,2015-09-01,"Informational,Non-branded,Non-local"
8,vida laboral,工作生活,es,18,573000,0.20,1.24,vida laboral,2025-10-24 05:59:16,"Sitelinks,Video preview",590000,1250000,1260000,2015-09-01,"Informational,Non-branded,Non-local"
9,investing,投资,es,0,447000,0.50,1.05,investing,2025-10-21 18:29:08,Sitelinks,2670000,436000,585000,2015-09-01,"Informational,Non-branded,Non-local"
10,alerta por precipitaciones,降雨警报,es,24,426000,0.10,,alerta de lluvias moderadas,2025-10-23 22:26:14,"Sitelinks,People also ask,Top stories,Thumbnail",439000,311000,314000,2015-10-20,"Informational,Non-branded,Non-local"
11,jeinz macias,软金兹,es,0,420000,1.10,,jeinz macias,2025-10-21 05:35:25,Video preview,630000,176000,247000,2019-03-03,"Informational,Non-branded,Non-local"
12,aula virtual,虚拟课堂,es,14,370000,0.35,0.8,aula virtual,2025-10-22 01:54:29,People also ask,757000,176000,177000,2015-09-01,"Informational,Non-branded,Non-local"
13,partidos hoy,今天比赛,es,59,365000,0.10,0.98,futbol hoy,2025-10-21 03:35:34,People also ask,1110000,516000,958000,2015-09-01,"Informational,Non-branded,Non-local"
14,vuelos baratos,廉价航班,es,77,332000,0.10,1.17,vuelos baratos,2025-10-20 23:35:57,Sitelinks,1220000,124000,165000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
15,madrid,马德里,es,91,323000,0.10,0.35,madrid,2025-10-24 07:12:53,"Thumbnail,Sitelinks,Knowledge panel,People also ask,Top stories,Video preview",2040000,1800,1800,2015-09-01,"Informational,Non-branded,Local"
16,ruleta aleatoria,随机轮盘赌,es,74,262000,1.10,1.1,ruleta aleatoria,2025-10-23 17:01:18,"Sitelinks,Video preview",628000,182000,673000,2015-09-20,"Informational,Non-branded,Non-local"
17,busco un chollo,我正在寻找便宜货,es,17,247000,0.10,1.06,busco un chollo,2025-10-24 11:53:40,"Sitelinks,Thumbnail,Video preview",252000,363000,368000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
18,loteria navidad,圣诞彩票,es,59,242000,1.00,1.24,loteria nacional,2025-10-21 23:22:56,"Knowledge card,Sitelinks,Top stories,Thumbnail",245000,2710000,3180000,2015-09-01,"Informational,Non-branded,Non-local"
19,webmail,网络邮件,es,22,213000,0.30,0.98,webmail,2025-10-21 00:39:32,,1880000,229000,235000,2015-09-01,"Informational,Non-branded,Non-local"
20,novak djokovic,诺瓦克·德约科维奇,es,42,204000,0.15,0.59,djokovic,2025-10-20 22:55:50,"Top stories,Thumbnail,Sitelinks,People also ask",2810000,37000,38000,2015-09-01,"Informational,Non-branded,Non-local"
21,valencia,巴伦西亚,es,90,202000,0.10,0.33,ayuntamiento valencia,2025-10-21 22:01:28,"Top stories,Thumbnail,Sitelinks,People also ask",1170000,12000,14000,2015-09-01,"Informational,Non-branded,Local"
22,dana valencia,给定价,es,1,202000,0.45,0.81,dana valencia,2025-10-22 20:13:23,"Top stories,Thumbnail,Sitelinks,People also ask,Video preview,Knowledge panel",244000,86000,90000,2016-04-27,"Informational,Non-branded,Local"
23,precio de la luz,光的价格,es,1,197000,0.40,1.18,precio de la luz hoy,2025-10-24 06:23:40,"Sitelinks,Top stories,Thumbnail",199000,1630000,1630000,2015-09-01,"Informational,Non-branded,Non-local"
24,verano joven 2025,年轻的夏天2025,es,3,194000,0.15,,verano joven 2025,2025-10-21 13:36:24,"Sitelinks,People also ask,Video preview",197000,117000,117000,2024-03-13,"Informational,Non-branded,Non-local"
25,spanish to english,西班牙语 到 英语,es,62,181000,0.15,0.24,spanish to english,2025-10-21 18:29:02,Knowledge card,9870000,7800,216000,2015-09-01,"Informational,Non-branded,Non-local"
26,black friday 2024,2024 年黑色星期五,es,1,176000,0.25,,black friday 2024,2025-10-20 16:47:12,"People also ask,Knowledge panel,Video preview",3080000,28000,28000,2019-05-02,"Informational,Commercial,Non-branded,Non-local"
27,loterias,彩票,es,65,167000,0.60,1.11,onlae,2025-10-24 17:29:10,"Sitelinks,Top stories,Thumbnail,Video preview",1140000,1080000,1090000,2015-09-01,"Informational,Non-branded,Non-local"
28,tarifa luz hoy,今日电费,es,5,166000,0.45,1.13,precio de la luz hoy,2025-10-21 21:27:24,Sitelinks,167000,1630000,1630000,2015-09-01,"Informational,Non-branded,Non-local"
29,ok,好的,es,13,165000,1.10,0.82,okdiario,2025-10-21 09:54:46,"Sitelinks,People also ask,Thumbnail",2440000,4290000,4420000,2015-09-01,"Informational,Non-branded,Non-local"
30,itv,独立电视台,es,36,158000,0.40,0.93,itv cita,2025-10-21 19:54:01,"Sitelinks,Local pack,Thumbnail",478000,295000,296000,2015-09-01,"Informational,Non-branded,Non-local"
31,euro dolar,欧元美元,es,2,158000,0.20,0.54,euro dolar,2025-10-21 13:36:08,"Sitelinks,People also ask",283000,180000,207000,2015-09-01,"Informational,Non-branded,Non-local"
32,euro hoy colombia,今日欧元 哥伦比亚,es,2,150000,1.10,0.47,cambio de euro a peso colombiano,2025-10-24 21:12:15,"People also ask,Top stories,Thumbnail,Sitelinks,Video preview",202000,152000,248000,2015-09-05,"Informational,Non-branded,Local"
33,ruleta,轮盘赌,es,74,150000,0.70,0.46,ruleta aleatoria,2025-10-22 22:05:41,"Video preview,Knowledge panel",1220000,147000,399000,2015-09-01,"Informational,Non-branded,Non-local"
34,vuelos,航班,es,84,148000,0.10,0.79,vuelos,2025-10-21 23:59:31,Sitelinks,663000,140000,176000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
35,a,一个,es,12,148000,0.20,0.34,a,2025-10-21 09:39:11,"Knowledge card,Sitelinks,Knowledge panel,Video preview",10750000,12000,59000,2015-09-01,"Informational,Non-branded,Non-local"
36,como va lo mio,我的怎么样了,es,5,141000,0.45,1.15,como va lo mio,2025-10-24 05:49:06,"Sitelinks,Video preview",167000,280000,307000,2015-09-01,"Informational,Non-branded,Non-local"
37,farmacia,药店,es,73,137000,0.15,0.29,promofarma,2025-10-20 23:27:12,"Sitelinks,Thumbnail,Knowledge panel",751000,66000,67000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
