#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,ドル円,美元日元,jp,27,3360000,0.15,0.66,ドル円,2025-10-21 22:05:54,"Top stories,Thumbnail,Sitelinks",3540000,2540000,2650000,2015-09-01,"Informational,Non-branded,Non-local"
2,今日の天気,今天的天气,jp,59,2320000,0.20,0.39,横浜 天気,2025-10-24 22:35:14,"Sitelinks,Video preview",2330000,95000,95000,2015-09-01,"Informational,Non-branded,Non-local"
3,エロ漫画,色情漫画,jp,48,1850000,0.25,1.39,エロ漫画,2025-10-21 14:23:10,People also ask,1870000,1370000,1380000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
4,漫画raw,卡通原料,jp,0,1630000,0.15,1.83,mangaraw,2025-10-24 05:59:47,Sitelinks,1650000,2470000,2480000,2015-09-06,"Informational,Non-branded,Non-local"
5,translate,翻译,jp,61,1420000,0.20,0.2,翻訳,2025-10-21 19:20:42,"Knowledge card,People also ask",253100000,2200000,2200000,2015-09-01,"Informational,Non-branded,Non-local"
6,熱中症警戒アラート,中暑警告警报,jp,39,887000,0.15,,熱中症アラート,2025-10-21 23:18:22,"Sitelinks,People also ask",887000,855000,855000,2020-05-27,"Informational,Non-branded,Non-local"
7,えろ,好色之徒,jp,51,865000,0.20,1.07,pornhub,2025-10-21 02:36:30,Sitelinks,872000,7570000,7580000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
8,エロ動画,色情影片,jp,65,848000,0.15,1.41,pornhub,2025-10-24 11:55:59,"Sitelinks,People also ask",853000,7720000,7730000,2015-09-01,"Navigational,Non-branded,Non-local"
9,エロ,好色之徒,jp,53,829000,0.20,1.03,pornhub,2025-10-24 08:01:06,Sitelinks,837000,7720000,7730000,2015-09-01,"Navigational,Non-branded,Non-local"
10,確定申告,最终纳税申报表,jp,73,775000,0.20,0.97,確定申告,2025-10-22 18:32:13,"Sitelinks,People also ask",776000,710000,712000,2015-09-01,"Informational,Non-branded,Non-local"
11,カレンダー 2025,日历 2025,jp,7,678000,1.50,,カレンダー 2025,2025-10-24 07:56:58,Sitelinks,680000,785000,786000,2017-01-15,"Informational,Non-branded,Non-local"
12,麻雀,麻将,jp,65,561000,0.15,1.05,麻雀,2025-10-21 20:56:05,"Sitelinks,Knowledge panel",585000,512000,513000,2015-09-01,"Informational,Non-branded,Non-local"
13,ふるさと納税,故乡税,jp,82,549000,0.50,0.94,ふるさと納税,2025-10-24 15:48:14,"Sitelinks,People also ask,Video preview",551000,397000,398000,2015-09-01,"Informational,Non-branded,Non-local"
14,株価,股价,jp,28,545000,1.00,0.98,株価,2025-10-22 00:26:03,"Sitelinks,Top stories,Thumbnail",548000,806000,807000,2015-09-01,"Informational,Non-branded,Non-local"
15,ボートレース,划船比赛,jp,77,540000,0.40,1,競艇,2025-10-24 11:37:49,"Sitelinks,Video preview",541000,1170000,1170000,2015-09-01,"Informational,Non-branded,Non-local"
16,プロ野球速報,职业棒球新闻,jp,43,503000,0.45,0.79,プロ野球,2025-10-21 21:27:29,"Sitelinks,Top stories,Thumbnail,Video preview",504000,1380000,1390000,2015-09-01,"Informational,Non-branded,Non-local"
17,イラスト,插图,jp,81,479000,0.10,0.39,イラストac,2025-10-21 19:50:23,"Thumbnail,Sitelinks",485000,507000,509000,2015-09-01,"Informational,Non-branded,Non-local"
18,競馬,赛马,jp,80,474000,1.60,1.06,jra,2025-10-24 18:17:28,"Sitelinks,Top stories,Thumbnail,People also ask,Video preview",478000,919000,921000,2015-09-01,"Informational,Non-branded,Non-local"
19,乗り換え案内,转让信息,jp,72,464000,0.15,1.04,乗換案内,2025-10-21 17:07:26,"Thumbnail,Sitelinks",465000,655000,656000,2015-09-01,"Informational,Non-branded,Non-local"
20,ソリティア,纸牌,jp,24,462000,0.25,1.02,ソリティア,2025-10-21 18:27:22,"Sitelinks,Knowledge panel",466000,282000,284000,2015-09-01,"Informational,Non-branded,Non-local"
21,こっちのけんと,这个剑人,jp,11,452000,0.10,,菅田将暉弟,2025-10-21 12:41:25,"Knowledge panel,People also ask,Top stories,Thumbnail,Sitelinks",455000,21000,21000,2020-01-14,"Informational,Non-branded,Non-local"
22,セックス,性别,jp,47,445000,0.35,0.86,セックス,2025-10-21 16:50:03,"People also ask,Video preview",456000,96000,96000,2015-09-01,"Informational,Non-branded,Non-local"
23,インターネット速度,网速,jp,39,436000,0.25,0.76,スピードテスト,2025-10-21 14:37:32,"Knowledge card,Sitelinks,People also ask",444000,1420000,1420000,2015-09-01,"Informational,Non-branded,Non-local"
24,競輪,自行车比赛,jp,65,421000,0.30,1.04,競輪,2025-10-22 19:44:56,"Sitelinks,Top stories,Thumbnail,Video preview",421000,403000,404000,2015-09-01,"Informational,Non-branded,Non-local"
25,japanese to english,日语到英语,jp,29,415000,0.50,0.27,japanese to english,2025-10-21 15:48:42,Knowledge card,2150000,112000,205000,2015-09-01,"Informational,Non-branded,Non-local"
26,井上尚弥,井上直也,jp,26,408000,0.15,1.12,井上尚弥,2025-10-21 11:12:28,"Top stories,Thumbnail,Knowledge panel,Sitelinks,Video preview",414000,65000,66000,2015-09-01,"Informational,Non-branded,Non-local"
27,ai,人工智能,jp,61,394000,0.20,0.49,gemini,2025-10-21 14:55:32,"AI Overview,Thumbnail,People also ask",9470000,831000,832000,2015-09-01,"Informational,Non-branded,Non-local"
28,競艇結果,划船比赛成绩,jp,16,392000,0.60,1.1,競艇結果,2025-10-21 23:20:18,,392000,540000,540000,2015-09-01,"Informational,Non-branded,Non-local"
