#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,مباريات اليوم,今天的比赛,sa,53,619000,2.50,1.05,مباريات اليوم,2025-10-24 07:40:28,"Sitelinks,Thumbnail,Video preview",3470000,943000,4090000,2015-09-01,"Informational,Non-branded,Non-local"
2,فارس,法尔斯,sa,14,615000,0.10,1.16,نظام فارس,2025-10-21 06:14:37,,757000,1610000,1610000,2015-09-01,"Informational,Non-branded,Non-local"
3,منصة العمل التطوعي,志愿者工作平台,sa,29,392000,0.80,,بوابة التطوع,2025-10-24 03:56:17,"Sitelinks,Video preview",394000,800,800,2017-05-11,"Informational,Non-branded,Non-local"
4,حجز طيران,航班预订,sa,51,341000,0.15,1.22,حجز طيران,2025-10-20 20:28:30,"Sitelinks,People also ask",476000,307000,308000,2015-09-01,"Commercial,Transactional,Non-branded,Non-local"
5,سعر الدولار مقابل الجنيه المصري في السوق السوداء,黑市上美元兑埃及镑的价格,sa,50,261000,1.00,,سعر الدولار مقابل الجنيه المصري في السوق السوداء,2025-10-20 22:55:24,"Sitelinks,People also ask,Top stories,Thumbnail",341000,197000,827000,2015-11-12,"Informational,Non-branded,Non-local"
6,كورة لايف,科拉现场,sa,29,238000,0.10,1.37,كورة لايف,2025-10-21 18:45:18,Thumbnail,2170000,410000,3690000,2015-09-01,"Informational,Non-branded,Non-local"
7,porn,A片,sa,95,237000,0.80,1.02,xxx,2025-10-21 17:24:44,Sitelinks,113800000,947000,303100000,2015-09-01,"Navigational,Non-branded,Non-local"
8,مكتب العمل,劳工办公室,sa,35,232000,0.10,1.13,مكتب العمل,2025-10-20 21:51:27,"Local pack,Sitelinks,People also ask",248000,327000,330000,2015-09-01,"Informational,Non-branded,Non-local"
9,سعر الدولار مقابل الجنيه,美元兑英镑的价格,sa,35,230000,0.10,1.05,سعر الدولار مقابل الجنيه,2025-10-21 12:15:29,,282000,294000,948000,2015-09-01,"Informational,Non-branded,Non-local"
10,كم باقي على رمضان,距离斋月还有多久？,sa,1,229000,0.35,1.17,كم باقي على رمضان 2025,2025-10-21 20:00:48,"Sitelinks,Video preview,People also ask",327000,181000,241000,2015-09-07,"Informational,Non-branded,Non-local"
11,sex,性别,sa,56,218000,0.60,0.77,سکس,2025-10-22 03:08:37,Sitelinks,27350000,14000,480000,2015-09-01,"Informational,Non-branded,Non-local"
12,السعودية,沙特阿拉伯,sa,78,205000,0.45,0.78,السعودية,2025-10-21 01:54:19,"Knowledge panel,Top stories,Thumbnail,Sitelinks",334000,36000,52000,2015-09-01,"Informational,Non-branded,Non-local"
13,موارد,案例,sa,45,192000,0.80,1.12,مديري,2025-10-20 16:16:05,,197000,255000,258000,2015-09-03,"Informational,Non-branded,Non-local"
14,سعر الريال مقابل الجنيه المصري,里亚尔兑埃及镑的价格,sa,22,172000,0.15,0.92,سعر الريال مقابل الجنيه المصري,2025-10-22 00:40:10,"Sitelinks,People also ask",208000,435000,1110000,2015-09-03,"Informational,Non-branded,Non-local"
15,نشاطي التجاري,我的商业活动,sa,0,172000,0.20,0.02,نشاطي التجاري,2025-10-21 22:19:13,"Sitelinks,People also ask,Video preview",270000,3900,18000,2015-09-20,"Informational,Non-branded,Non-local"
16,australia vs india,澳大利亚 vs 印度,sa,39,167000,2.00,0.46,india vs australia live,2025-10-24 08:07:52,"Top stories,Thumbnail,Sitelinks,Video preview",9110000,100,5300,2015-10-03,"Informational,Non-branded,Non-local"
17,فاصل اعلاني,距离声明,sa,0,161000,0.50,1.04,فاصل اعلاني,2025-10-21 12:31:21,"Sitelinks,Video preview",199000,59000,64000,2015-09-14,"Informational,Navigational,Non-branded,Non-local"
18,سلة,篮子,sa,13,149000,0.25,0.91,سلة,2025-10-24 07:02:36,"Sitelinks,Video preview",159000,209000,219000,2015-09-02,"Informational,Non-branded,Non-local"
19,booking,预订,sa,73,148000,0.25,0.96,booking,2025-10-22 02:14:18,Sitelinks,21860000,117000,3130000,2015-09-01,"Navigational,Commercial,Transactional,Non-branded,Non-local"
20,كوره لايف,科拉现场,sa,31,147000,0.10,1.39,koora live,2025-10-21 01:14:14,,993000,343000,2930000,2015-09-03,"Navigational,Non-branded,Non-local"
21,prayer time riyadh,利雅得祈祷时间,sa,2,144000,0.90,0.53,salah time,2025-10-22 00:19:11,"Knowledge card,People also ask,Sitelinks",149000,95000,98000,2015-09-01,"Informational,Non-branded,Local"
22,سعر الريال في السوق السوداء,黑市上里亚尔的价格,sa,0,143000,0.30,1.35,سعر الريال في السوق السوداء,2025-10-19 14:46:13,"People also ask,Sitelinks,Top stories,Thumbnail",415000,139000,286000,2015-09-12,"Informational,Non-branded,Non-local"
23,الضمان,保修单,sa,24,141000,0.15,1.13,الضمان الاجتماعي,2025-10-20 19:44:03,"Top stories,Thumbnail,Knowledge panel,Video preview,People also ask",155000,969000,975000,2015-09-01,"Informational,Non-branded,Non-local"
24,التاهيل الشامل,综合康复,sa,9,125000,0.25,1.15,التاهيل الشامل,2025-10-21 21:26:05,"Knowledge panel,Video preview",126000,190000,191000,2015-09-01,"Informational,Non-branded,Non-local"
25,تاريخ اليوم هجري,今天的回历日期,sa,24,120000,0.10,0.69,تاريخ اليوم هجري,2025-10-21 12:28:03,"Sitelinks,People also ask",169000,137000,246000,2015-09-01,"Informational,Non-branded,Non-local"
26,saudi arabia,沙特阿拉伯,sa,69,120000,0.45,0.52,saudi arabia,2025-10-20 23:04:50,"Knowledge panel,Sitelinks,People also ask,Thumbnail",1120000,17000,147000,2015-09-01,"Informational,Non-branded,Non-local"
27,سعر الريال السعودي مقابل الجنيه المصري في السوق السوداء اليوم,今天黑市上沙特里亚尔兑埃及镑的价格,sa,10,112000,0.70,,سعر الريال السعودي مقابل الجنيه المصري في السوق السوداء اليوم,2025-10-24 21:51:09,"Featured snippet,People also ask,Sitelinks,Video preview",158000,82000,155000,2016-05-03,"Informational,Non-branded,Non-local"
28,ind vs nz,印度尼西亚 vs 新西兰,sa,71,106000,0.15,0.35,india vs nz,2025-10-21 19:20:33,"Sitelinks,Video preview",13900000,36000,4300000,2016-03-15,"Informational,Non-branded,Non-local"
29,منصة تطوع,志愿服务平台,sa,0,101000,1.00,,منصة تطوع,2025-10-21 22:06:37,,101000,69000,69000,2016-05-11,"Informational,Non-branded,Non-local"
30,سبيد تست,测试香蕉,sa,27,100000,0.60,2.06,سبيد تست,2025-10-20 23:53:15,Sitelinks,221000,162000,1930000,2015-09-01,"Informational,Non-branded,Non-local"
31,مسلسلات خليجيه,海湾系列,sa,0,99000,0.30,0.95,مسلسلات خليجيه,2025-10-20 21:26:43,"Video preview,Thumbnail",119000,76000,111000,2015-09-07,"Informational,Non-branded,Non-local"
32,تحويل عملات,货币换算,sa,17,94000,0.20,0.87,تحويل العملات,2025-10-21 01:33:29,Sitelinks,265000,257000,262000,2015-09-01,"Informational,Non-branded,Non-local"
33,ريف,农村,sa,18,94000,0.70,0.17,ريف,2025-10-21 18:11:25,"People also ask,Video preview",100000,64000,65000,2015-09-01,"Informational,Non-branded,Non-local"
34,تحويل العملات,货币兑换,sa,17,94000,0.20,1.03,تحويل العملات,2025-10-21 00:49:03,Sitelinks,335000,257000,262000,2015-09-01,"Informational,Non-branded,Non-local"
35,المنتخب السعودي,沙特国家队,sa,3,93000,0.10,0.64,مباريات منتخب السعودية لكرة القدم,2025-10-21 11:29:44,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask",102000,8600,16000,2015-09-01,"Informational,Non-branded,Non-local"
36,الهلال ضد الاتحاد,希拉尔 vs 伊蒂哈德历史战绩,sa,0,89000,0.25,0.75,الهلال ضد الاتحاد,2025-10-24 10:39:53,"People also ask,Sitelinks,Video preview",122000,80000,94000,2015-10-30,"Informational,Non-branded,Non-local"
37,وظائف,工作机会,sa,49,85000,0.15,1.19,وظائف,2025-10-22 22:50:22,"Sitelinks,Video preview",141000,135000,137000,2015-09-01,"Informational,Non-branded,Non-local"
38,sar to php,sar 到 php,sa,38,84000,0.15,0.22,riyal to peso,2025-10-24 20:40:36,"People also ask,Sitelinks",118000,101000,115000,2015-09-01,"Informational,Non-branded,Non-local"
39,بث مباشر,直播,sa,11,84000,0.15,1.18,الاسطورة,2025-10-20 20:34:43,"Sitelinks,Video preview",558000,946000,1700000,2015-09-01,"Navigational,Non-branded,Non-local"
40,سرعة النت,网速,sa,28,83000,0.80,1.32,سبيد تست,2025-10-21 18:17:24,Knowledge card,564000,200000,1820000,2015-09-01,"Informational,Non-branded,Non-local"
41,matka,旅行,sa,76,82000,0.15,1.77,dpboss,2025-10-24 17:02:38,"Video preview,Knowledge panel,Sitelinks",14270000,790000,72860000,2015-09-01,"Informational,Non-branded,Non-local"
42,bangladesh vs west indies,孟加拉国 vs​​ 西印度群岛,sa,1,79000,0.30,0.36,bangladesh score,2025-10-21 07:22:27,Video preview,886000,27000,491000,2018-07-05,"Informational,Non-branded,Non-local"
43,اليوم الوطني,国庆,sa,22,79000,0.10,0.52,اليوم الوطني السعودي,2025-10-20 21:40:38,"Thumbnail,People also ask,Knowledge panel,Video preview",83000,40000,42000,2015-09-01,"Informational,Non-branded,Non-local"
44,ا,一个,sa,0,79000,0.10,0.24,ا,2025-10-21 03:45:57,"Video preview,Knowledge panel,Thumbnail",302000,11000,17000,2015-09-01,"Informational,Non-branded,Non-local"
45,تحويل pdf,转换pdf,sa,10,77000,0.15,1.21,تحويل صورة الى pdf,2025-10-24 02:41:37,Video preview,81000,296000,434000,2015-09-02,"Informational,Non-branded,Non-local"
