#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,porn,A片,se,97,642000,0.90,1.15,pornhub,2025-10-21 00:23:28,Sitelinks,113800000,3580000,310200000,2015-09-01,"Informational,Non-branded,Non-local"
2,flashback,倒叙,se,36,598000,0.90,1.06,flashback,2025-10-21 15:01:30,Sitelinks,733000,1110000,1120000,2015-09-01,"Informational,Non-branded,Non-local"
3,hm,嗯,se,76,402000,0.20,1,hm,2025-10-21 17:25:46,"Sitelinks,Local pack",4140000,418000,419000,2015-09-01,"Informational,Navigational,Commercial,Non-branded,Non-local"
4,xxx,xxx,se,61,327000,0.70,1.2,xxx,2025-10-20 12:14:13,,332500000,915000,210900000,2015-09-01,"Non-branded,Non-local"
5,kalkylator,计算器,se,1,326000,0.10,0.57,kalkylator,2025-10-24 01:57:16,"Knowledge card,Sitelinks",339000,36000,38000,2015-09-01,"Informational,Non-branded,Non-local"
6,miniräknare,计算器,se,0,279000,0.25,0.58,miniräknare,2025-10-21 04:18:25,"Knowledge card,Thumbnail",286000,50000,51000,2015-09-01,"Informational,Non-branded,Non-local"
7,nyheter,消息,se,88,242000,0.80,1.13,svt nyheter,2025-10-20 10:39:41,"Top stories,Thumbnail,Sitelinks,Video preview",309000,1270000,1360000,2015-09-01,"Informational,Non-branded,Non-local"
8,sek to inr,瑞典克朗兑换印度卢比,se,0,188000,0.70,0.25,sek to inr,2025-10-21 11:31:39,Sitelinks,244000,29000,30000,2015-09-01,"Informational,Non-branded,Non-local"
9,på tv,在电视上,se,46,184000,0.60,1.01,tv nu,2025-10-20 09:12:04,Sitelinks,208000,932000,951000,2015-09-01,"Informational,Non-branded,Non-local"
10,swedish to english,瑞典语 到 英语,se,9,156000,0.30,0.26,google translate,2025-10-21 09:03:44,Knowledge card,291000,67000,10120000,2015-09-01,"Informational,Non-branded,Non-local"
11,dollar to sek,美元兑瑞典克朗,se,7,148000,0.15,0.65,dollar to sek,2025-10-24 14:57:05,"People also ask,Sitelinks",152000,31000,31000,2015-09-01,"Informational,Non-branded,Non-local"
12,booking,预订,se,87,140000,0.35,0.97,booking,2025-10-24 20:12:09,"Sitelinks,People also ask,Video preview",21860000,118000,3820000,2015-09-01,"Navigational,Commercial,Transactional,Non-branded,Non-local"
13,usd to sek,美元兑瑞典克朗,se,5,135000,0.10,0.5,dollar to sek,2025-10-21 08:48:13,"People also ask,Sitelinks",158000,157000,157000,2015-09-01,"Informational,Non-branded,Non-local"
14,kalender 2025,日历 2025,se,0,131000,0.30,,kalender 2025,2025-10-21 21:34:21,"Sitelinks,Thumbnail",2820000,92000,92000,2018-10-12,"Informational,Commercial,Transactional,Non-branded,Non-local"
15,svenska engelska,瑞典语 英语,se,17,127000,0.10,0.34,translate swedish to english,2025-10-21 13:11:09,"Knowledge card,Sitelinks,People also ask",135000,27000,34000,2015-09-01,"Informational,Non-branded,Non-local"
16,birthday,生日,se,50,123000,0.70,1.05,birthday,2025-10-21 14:22:34,"Sitelinks,Video preview",728000,189000,190000,2015-09-01,"Informational,Non-branded,Non-local"
17,ryssland,俄罗斯,se,5,122000,0.20,0.52,ryssland,2025-10-20 22:08:39,"Top stories,Thumbnail,Sitelinks,People also ask",134000,15000,15000,2015-09-01,"Informational,Non-branded,Non-local"
18,y,y,se,90,121000,0.20,0.93,youtube,2025-10-24 19:52:58,"Sitelinks,People also ask,Video preview,Thumbnail",13260000,2190000,299400000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
19,tv,电视,se,72,120000,0.10,0.94,tv nu,2025-10-21 00:59:55,Sitelinks,2750000,934000,953000,2015-09-01,"Informational,Non-branded,Non-local"
20,car info,汽车信息,se,0,120000,0.90,1.05,car info,2025-10-19 05:59:07,Sitelinks,291000,193000,193000,2015-11-24,"Informational,Non-branded,Non-local"
21,indeed,的确,se,45,115000,0.20,0.99,indeed,2025-10-24 17:02:54,"Sitelinks,Video preview",26850000,127000,127000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
22,casino,赌场,se,84,115000,11.00,0.95,lucky casino,2025-10-21 07:20:27,"Thumbnail,Sitelinks",1570000,127000,132000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
23,synonymer,同义词,se,0,112000,0.20,0.92,synonym,2025-10-21 02:26:55,"Sitelinks,Knowledge panel,Video preview",123000,117000,122000,2015-09-01,"Informational,Navigational,Non-branded,Non-local"
24,ludvig åberg,路德维格·阿伯格,se,7,110000,0.10,,ludvig åberg,2025-10-20 22:32:38,"Thumbnail,People also ask,Top stories,Knowledge panel,Sitelinks",175000,5900,6700,2016-03-04,"Informational,Non-branded,Non-local"
25,tv-tablå idag alla kanaler,今天所有频道的电视节目表,se,23,109000,1.10,,tv idag,2025-10-21 09:18:52,Sitelinks,111000,508000,511000,2019-10-27,"Informational,Non-branded,Non-local"
26,dermot clemenger,德莫特·克莱门格,se,2,109000,0.30,0.63,dermot clemenger,2025-10-21 09:34:19,"People also ask,Knowledge panel,Video preview",114000,27000,27000,2015-09-08,"Informational,Non-branded,Non-local"
27,kladdkaka,粘巧克力蛋糕,se,2,107000,0.20,1.08,kladdkaka,2025-10-24 12:59:28,"Thumbnail,Top stories,Video preview",127000,149000,151000,2015-09-01,"Informational,Non-branded,Non-local"
28,translate swedish to english,将瑞典语翻译成英语,se,12,103000,0.15,0.26,google translate,2025-10-18 23:51:30,Knowledge card,127000,255000,261000,2015-09-01,"Informational,Non-branded,Non-local"
29,väder göteborg,天气 哥德堡,se,3,103000,0.15,0.68,väder göteborg,2025-10-24 14:03:04,"Knowledge card,Sitelinks",105000,28000,28000,2015-09-01,"Informational,Non-branded,Local"
30,a,一个,se,85,102000,0.35,0.56,aftonbladet,2025-10-21 21:03:19,"Sitelinks,Top stories,Thumbnail",10750000,3470000,3780000,2015-09-01,"Informational,Non-branded,Non-local"
31,canvas,帆布,se,8,101000,0.90,0.72,canva,2025-10-21 12:14:47,"Sitelinks,People also ask",8450000,195000,195000,2015-09-01,"Informational,Non-branded,Non-local"
32,sabrina carpenter,萨布丽娜·卡彭特,se,81,100000,0.30,0.41,sabrina carpenter,2025-10-21 07:07:47,"Knowledge panel,Thumbnail,Sitelinks,People also ask,Video preview",7200000,8400,670000,2015-09-01,"Informational,Non-branded,Non-local"
33,stockholm,斯德哥尔摩,se,83,99000,0.25,0.38,stockholm,2025-10-24 19:53:42,"Sitelinks,Thumbnail,Knowledge panel,People also ask,Video preview",725000,27000,28000,2015-09-01,"Informational,Non-branded,Local"
34,midsommar 2025,2025 年仲夏,se,1,98000,0.10,,midsommar 2025,2025-10-20 07:25:39,"People also ask,Knowledge panel",125000,19000,19000,2017-10-05,"Informational,Non-branded,Non-local"
35,apotek,药店,se,75,94000,0.25,0.93,apoteket,2025-10-21 11:10:38,"Sitelinks,Local pack,Thumbnail",251000,472000,480000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
36,mykoplasma,支原体,se,0,93000,0.10,0.96,mykoplasma symtom,2025-10-20 19:03:03,"People also ask,Knowledge panel,Thumbnail",167000,56000,56000,2015-09-01,"Informational,Non-branded,Non-local"
37,free porn,免费色情片,se,96,92000,0.70,1.24,xxx,2025-10-18 14:57:26,Sitelinks,12460000,971000,197000000,2015-09-01,"Informational,Non-branded,Non-local"
38,kalender,日历,se,28,91000,0.35,0.96,kalender,2025-10-21 18:31:27,Sitelinks,569000,75000,76000,2015-09-01,"Informational,Non-branded,Non-local"
39,elon musk,埃隆·马斯克,se,86,91000,0.15,0.68,elon musk,2025-10-20 22:36:47,"Thumbnail,Sitelinks,People also ask,Knowledge panel",11750000,39000,39000,2015-09-01,"Informational,Non-branded,Non-local"
40,spin the wheel,转动轮子,se,80,90000,3.00,1.09,spin the wheel,2025-10-21 16:13:12,Sitelinks,2600000,94000,5380000,2015-09-03,"Informational,Non-branded,Non-local"
41,elpris idag,今日电价,se,22,89000,0.35,1.5,spotpris el,2025-10-21 00:38:25,"Sitelinks,People also ask",90000,244000,248000,2015-11-12,"Informational,Non-branded,Non-local"
42,black friday 2024,2024 年黑色星期五,se,8,88000,0.15,,black friday,2025-10-20 23:26:55,"People also ask,Sitelinks,Knowledge panel",3080000,21000,21000,2018-11-07,"Informational,Commercial,Non-branded,Non-local"
43,timer,定时器,se,77,88000,0.20,0.85,timer,2025-10-18 05:10:52,"Sitelinks,People also ask",6980000,31000,712000,2015-09-01,"Informational,Non-branded,Non-local"
44,airfryer,空气炸锅,se,0,87000,0.15,1.03,airfryer,2025-10-21 17:32:22,"People also ask,Shopping,Thumbnail",1930000,17000,17000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
45,black friday,黑色星期五,se,12,85000,0.50,0.9,black friday,2025-10-21 05:27:13,"Knowledge card,People also ask,Sitelinks,Knowledge panel",3210000,11000,11000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
46,ukraina,乌克兰,se,26,85000,0.25,0.51,ukraina nyheter,2025-10-21 09:36:03,"Top stories,Thumbnail,Knowledge panel,Sitelinks",696000,1300,1300,2015-09-01,"Informational,Non-branded,Non-local"
47,barcelona,巴塞罗那,se,74,84000,0.15,0.38,barcelona,2025-10-22 01:45:03,"Top stories,Thumbnail,Knowledge panel,Sitelinks",22290000,16000,16000,2015-09-01,"Informational,Non-branded,Local"
48,vädret,天气,se,51,83000,0.10,0.64,väder,2025-10-20 23:36:32,Sitelinks,84000,1100000,1120000,2015-09-01,"Informational,Non-branded,Non-local"
49,antagning,入场,se,26,83000,0.60,1.03,antagningen,2025-10-21 15:14:35,Sitelinks,86000,21000,23000,2015-09-01,"Informational,Non-branded,Non-local"
50,ai,人工智能,se,98,80000,0.30,0.49,ai,2025-10-21 19:07:25,"Sitelinks,Top stories,Thumbnail,People also ask",9470000,105000,23700000,2015-09-02,"Informational,Non-branded,Non-local"
51,calculator,计算器,se,86,78000,0.15,0.51,calculator,2025-10-21 02:35:53,"Knowledge card,Sitelinks",37450000,9400,915000,2015-09-01,"Informational,Non-branded,Non-local"
52,patiens,痛苦,se,12,77000,0.20,1.08,patiens,2025-10-24 13:47:08,"Knowledge panel,Video preview",84000,52000,55000,2015-09-01,"Informational,Non-branded,Non-local"
53,amerikanska pannkakor,美式煎饼,se,0,75000,0.30,1.07,amerikanska pannkakor,2025-10-21 19:29:43,"Video preview,Thumbnail",77000,71000,72000,2015-09-01,"Informational,Non-branded,Non-local"
54,väder malmö,天气 马尔默,se,3,73000,0.50,0.69,väder malmö,2025-10-21 08:36:48,"Knowledge card,Sitelinks",74000,18000,18000,2015-09-01,"Informational,Non-branded,Local"
55,ramadan 2025,斋月 2025,se,1,72000,1.80,,ramadan 2025,2025-10-21 09:18:07,"People also ask,Knowledge panel",4300000,28000,28000,2016-06-28,"Informational,Non-branded,Non-local"
56,nt,恩特,se,1,71000,0.10,0.98,nt,2025-10-21 05:29:10,Sitelinks,237000,89000,89000,2015-09-01,"Informational,Non-branded,Non-local"
57,djurgården,动物农场,se,50,71000,0.20,0.53,dif fotboll,2025-10-24 01:06:24,"Sitelinks,Top stories,Thumbnail,People also ask,Video preview,Knowledge panel",84000,42000,43000,2015-09-01,"Informational,Non-branded,Non-local"
58,porrfilm,色情电影,se,16,70000,0.30,1.47,porrfilmer,2025-10-21 09:37:07,,73000,84000,84000,2015-09-01,"Informational,Non-branded,Non-local"
59,pension,养老金,se,2,69000,0.35,0.82,pensionsmyndigheten,2025-10-24 10:39:44,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",478000,315000,329000,2015-09-01,"Informational,Non-branded,Non-local"
60,ex,前任,se,4,69000,0.10,0.9,expressen,2025-10-20 22:02:05,Sitelinks,493000,3380000,3670000,2015-09-01,"Informational,Non-branded,Non-local"
61,ullared,羊毛红,se,17,68000,0.25,0.92,gekås,2025-10-21 03:42:04,"Sitelinks,People also ask",78000,129000,140000,2015-09-01,"Informational,Commercial,Non-branded,Local"
62,korvstroganoff,沙拉酱香肠,se,0,68000,0.15,1.17,korvstroganoff,2025-10-21 07:37:29,"Top stories,Thumbnail,People also ask,Video preview",72000,72000,73000,2015-09-01,"Informational,Non-branded,Non-local"
63,sex,性别,se,28,68000,0.10,0.69,sex,2025-10-22 01:52:04,Sitelinks,27350000,8800,8800,2015-09-01,"Informational,Non-branded,Non-local"
64,hockey vm 2025,曲棍球虚拟机 2025,se,2,68000,0.20,,hockey vm 2025,2025-10-21 13:09:02,"People also ask,Sitelinks",71000,36000,36000,2020-01-11,"Informational,Non-branded,Non-local"
65,youtube to mp3,youtube 到 mp3,se,40,67000,0.80,1.33,youtube mp3,2025-10-24 20:32:26,,8930000,61000,8440000,2015-09-01,"Transactional,Non-branded,Non-local"
66,billie eilish,比莉·艾利什,se,89,67000,0.20,0.5,billie eilish,2025-10-20 20:51:20,"Knowledge panel,Thumbnail,Sitelinks,People also ask,Video preview",5460000,8900,8900,2016-04-04,"Informational,Non-branded,Non-local"
67,s,s,se,17,67000,0.10,0.34,s,2025-10-20 08:56:16,"Knowledge panel,People also ask,Video preview",5050000,22000,22000,2015-09-01,"Informational,Non-branded,Non-local"
