#,Keyword,中文释义,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents
1,dolar hoje,今天美元,br,59,5680000,0.15,0.78,dolar hoje,2025-10-24 11:43:38,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",5840000,2740000,2880000,2015-09-01,"Informational,Non-branded,Non-local"
2,jogos de hoje,今天的比赛,br,63,4900000,0.15,0.89,jogos de hoje,2025-10-22 02:37:55,"Sitelinks,People also ask",5060000,2350000,2400000,2015-09-01,"Informational,Non-branded,Non-local"
3,filmes e series novas,新电影和连续剧,br,36,3400000,0.10,,filmes e series novas,2025-10-21 18:14:47,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",3400000,1230000,1230000,2015-09-08,"Informational,Non-branded,Non-local"
4,jogo do bicho,动物游戏,br,48,2850000,0.15,1.1,deu no poste,2025-10-21 15:17:04,"Sitelinks,Knowledge panel",2870000,17990000,17990000,2015-09-01,"Informational,Non-branded,Non-local"
5,comércio perto de mim,我附近的商业,br,2,2650000,0.40,,shopping ijui,2025-10-21 00:16:06,"Local teaser pack,Thumbnail,Video preview,Sitelinks",2650000,0,0,2017-07-11,"Informational,Commercial,Non-branded,Local"
6,cnpj,全国人大常委会,br,60,2220000,0.20,1.11,consulta cnpj,2025-10-21 06:55:33,Knowledge panel,2230000,11290000,11310000,2015-09-01,"Informational,Non-branded,Non-local"
7,booking,预订,br,8,1430000,0.30,0.95,booking,2025-10-21 12:27:06,Sitelinks,21860000,1150000,1150000,2015-09-01,"Navigational,Commercial,Transactional,Non-branded,Non-local"
8,rest p ir estilosa perto,休息去时尚关闭,br,0,1390000,0.10,,rest p ir estilosa perto,2025-10-21 23:59:08,"AI Overview,Video preview",1390000,505000,505000,2024-08-14,"Informational,Non-branded,Local"
9,series novas para maratonar,马拉松新系列,br,2,1340000,0.20,,filmes e series novas,2025-10-21 15:48:21,"Thumbnail,Sitelinks,Video preview,People also ask",1340000,843000,843000,2017-01-13,"Informational,Non-branded,Non-local"
10,simples nacional,简单的民族,br,56,1120000,0.15,1.11,simples nacional,2025-10-23 17:52:14,"Sitelinks,People also ask,Knowledge panel",1120000,1270000,1280000,2015-09-01,"Informational,Non-branded,Non-local"
11,ibovespa,伊博韦斯帕,br,53,1080000,0.20,0.43,ibovespa,2025-10-21 18:19:42,"Top stories,Thumbnail,Knowledge panel,Sitelinks,People also ask,Video preview",1110000,89000,89000,2015-09-01,"Informational,Non-branded,Non-local"
12,air fryer,空气炸锅,br,12,1020000,0.10,0.63,air fryer,2025-10-23 04:43:10,"Shopping,Thumbnail,People also ask,Sitelinks,Video preview",3210000,114000,114000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
13,resultado jogo do bicho,动物游戏结果,br,58,916000,0.30,1.18,deu no poste,2025-10-25 00:31:43,"Sitelinks,Video preview",918000,18080000,18080000,2015-09-01,"Informational,Non-branded,Non-local"
14,creatina,肌酸,br,16,880000,0.15,0.66,growth creatina,2025-10-24 18:21:13,"Shopping,Thumbnail,People also ask,Knowledge panel,Sitelinks,Video preview",1650000,100000,101000,2015-09-01,"Informational,Non-branded,Non-local"
15,buceta,猫,br,2,871000,0.15,0.93,buceta,2025-10-21 08:13:09,,922000,657000,663000,2015-09-01,"Non-branded,Non-local"
16,passagens aereas,机票,br,74,838000,0.15,1.11,passagens aereas,2025-10-21 12:22:33,"Sitelinks,Knowledge panel,People also ask",880000,265000,282000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
17,resultado do bicho,动物结果,br,34,834000,0.30,1.18,deu no poste,2025-10-21 22:20:46,"Sitelinks,People also ask",836000,17990000,17990000,2015-09-01,"Informational,Non-branded,Non-local"
18,notebook,笔记本,br,38,832000,0.10,0.72,notebook,2025-10-22 11:52:47,"Shopping,Thumbnail,Sitelinks,People also ask,Video preview",1570000,135000,135000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
19,dólar hoje,今天美元,br,68,823000,0.15,0.55,cotação dolar,2025-10-21 17:27:38,"Sitelinks,Top stories,Thumbnail,People also ask",846000,1910000,2110000,2015-09-01,"Informational,Non-branded,Non-local"
20,enem,一,br,30,796000,0.10,1.13,inep,2025-10-24 22:02:39,"Sitelinks,People also ask,Video preview",800000,3480000,3480000,2015-09-01,"Informational,Non-branded,Non-local"
21,futebol quem joga hj,今天踢足球的人,br,54,775000,0.15,,jogos de hoje,2025-10-21 06:19:36,"Top stories,Thumbnail,People also ask,Sitelinks,Video preview",776000,2350000,2400000,2016-11-17,"Informational,Non-branded,Non-local"
22,bet,赌注,br,81,722000,3.50,0.69,bet,2025-10-24 23:40:01,"Knowledge panel,Video preview",3670000,561000,566000,2015-09-01,"Informational,Commercial,Non-branded,Non-local"
23,sisu,内容,br,60,720000,0.30,1.15,sisu,2025-10-21 15:40:18,"Sitelinks,People also ask,Knowledge panel",960000,299000,299000,2015-09-01,"Informational,Non-branded,Non-local"
24,mei,梅,br,56,684000,0.10,1.19,portal do empreendedor,2025-10-23 10:07:15,"Sitelinks,People also ask,Top stories,Thumbnail,Video preview",790000,1250000,1250000,2015-09-01,"Informational,Non-branded,Non-local"
25,chat,聊天,br,48,680000,0.15,0.94,chatgpt,2025-10-22 19:52:41,"Knowledge panel,Video preview",6490000,36850000,432800000,2015-09-01,"Informational,Non-branded,Non-local"
26,loterias,彩票,br,67,631000,0.30,1.21,loterias,2025-10-22 23:48:18,"Sitelinks,Video preview",1140000,1180000,1180000,2015-09-01,"Informational,Non-branded,Non-local"
27,web,网络,br,49,578000,0.15,0.91,whatsapp web,2025-10-24 03:15:14,"Sitelinks,Knowledge card,Video preview",2650000,84290000,588700000,2015-09-01,"Informational,Non-branded,Non-local"
28,valor do dolar,美元价值,br,62,565000,0.10,0.56,cotação dolar,2025-10-21 23:06:53,"People also ask,Sitelinks",577000,1910000,2110000,2015-09-01,"Informational,Non-branded,Non-local"
29,ar condicionado,空调,br,17,563000,0.10,0.54,ar condicionado,2025-10-23 22:18:48,"Shopping,Thumbnail,People also ask,Sitelinks,Video preview",586000,43000,44000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
30,fgts,弗格特,br,76,508000,0.10,1.09,fgts,2025-10-21 16:21:55,"Sitelinks,Top stories,Thumbnail,Knowledge panel,People also ask",511000,298000,298000,2015-09-01,"Informational,Non-branded,Non-local"
31,voos,航班,br,78,487000,0.20,0.29,voos,2025-10-24 08:07:22,"Sitelinks,Thumbnail,Video preview",566000,206000,220000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
32,cotação dolar,美元报价,br,60,483000,0.10,0.77,dolar hoje,2025-10-21 03:55:10,"Sitelinks,Top stories,Thumbnail",505000,1640000,1770000,2015-09-01,"Informational,Non-branded,Non-local"
33,celular,手机,br,45,468000,0.10,0.59,celular,2025-10-21 17:08:32,"Shopping,Thumbnail,Sitelinks,People also ask",682000,85000,85000,2015-09-01,"Informational,Commercial,Transactional,Non-branded,Non-local"
